phase,component,mean_ms,min_ms,max_ms,std_ms,percent_of_forward
Train,forward,8.16447284345048,7.696,10.688,0.23733063723663664,
Train,conv,0.7219431309904153,0.67,0.933,0.026011326344193213,8.842495343340584
Train,relu,0.011823961661341854,0.01,0.034,0.0012568029417187466,0.14482210778405621
Train,pool,0.02325271565495208,0.021,0.044,0.0010014529248454174,0.284803637672766
Train,fc,7.37217124600639,6.959,9.665,0.22539406755897487,90.29574091755758
Train,softmax,0.03538466453674122,0.032,0.057,0.0013723494811187919,0.43339803089830486
Test,forward,8.036666666666667,7.804,8.166,0.09627348610590628,
Test,conv,0.7269777777777777,0.679,0.802,0.03559828087718474,9.045762477533525
Test,relu,0.01273809523809524,0.01,0.024,0.000806506983689062,0.15849973336493453
Test,pool,0.02366031746031746,0.021,0.034,0.000999450592335877,0.29440461377417
Test,fc,7.239066666666667,7.057,7.387,0.08887570418089971,90.07548734964746
Test,softmax,0.03438095238095238,0.033,0.056,0.001176874680501472,0.4278011494933933
Train,backward,2.1929012779552717,1.962,2.723,0.12573727172149185,
